image,condition,replicate,cell_id,pair,pearson_r,manders_m1,manders_m2
MAX_25deg_rep1.tif,25deg,1,35,Sis1_vs_Nsr1,0.6745427301975823,0.862861769634888,1.0
MAX_25deg_rep1.tif,25deg,1,36,Sis1_vs_Nsr1,0.8570199475233666,0.6769700659137663,1.0
MAX_25deg_rep1.tif,25deg,1,37,Sis1_vs_Nsr1,0.8200063633127856,0.9269011042907941,0.9975447028916979
MAX_25deg_rep1.tif,25deg,1,38,Sis1_vs_Nsr1,0.750914301058192,0.8133368064600156,0.9982230035062243
MAX_25deg_rep1.tif,25deg,1,39,Sis1_vs_Nsr1,0.6601346284824854,0.33200528898013154,0.9338250790305584
MAX_25deg_rep1.tif,25deg,1,40,Sis1_vs_Nsr1,0.5356203724858258,0.4165239432760156,0.921572321120216
MAX_25deg_rep1.tif,25deg,1,41,Sis1_vs_Nsr1,0.834133523240218,0.906123270729673,0.9875511570426825
MAX_25deg_rep1.tif,25deg,1,42,Sis1_vs_Nsr1,0.7770573280005266,0.9021372612577722,1.0
MAX_25deg_rep1.tif,25deg,1,43,Sis1_vs_Nsr1,0.6876292729644771,0.7571907581076125,0.8592403727800246
MAX_25deg_rep1.tif,25deg,1,44,Sis1_vs_Nsr1,0.6811555042007078,0.898355721848204,0.9960564977576164
MAX_25deg_rep1.tif,25deg,1,45,Sis1_vs_Nsr1,0.7423014469379675,0.9083543841787289,0.9402994662024576
MAX_25deg_rep1.tif,25deg,1,46,Sis1_vs_Nsr1,0.7565031987006621,0.7816501494415605,0.996557817619556
MAX_25deg_rep1.tif,25deg,1,47,Sis1_vs_Nsr1,0.8602732118503645,0.7845767060030785,0.8520109076061596
MAX_25deg_rep1.tif,25deg,1,48,Sis1_vs_Nsr1,0.8036286419968546,0.8584436600233091,0.9870273123460466
MAX_25deg_rep1.tif,25deg,1,49,Sis1_vs_Nsr1,0.8531561091235539,0.9281459643211697,0.870554117961988
MAX_25deg_rep1.tif,25deg,1,50,Sis1_vs_Nsr1,0.6921010964591374,0.7837391473890654,0.9777073034231881
MAX_25deg_rep1.tif,25deg,1,51,Sis1_vs_Nsr1,0.7479492621864947,0.6083869101910969,0.9917216715600786
MAX_25deg_rep1.tif,25deg,1,52,Sis1_vs_Nsr1,0.6764279078200138,0.7151936818352764,0.9735311227457825
MAX_25deg_rep1.tif,25deg,1,53,Sis1_vs_Nsr1,0.729799140901177,0.9475268952930936,0.9902800789613164
